Timestamp,What is your age group?,What is your highest level of education?,What is your current occupation?,Which state/city do you currently live in?,How often do you currently practice recycling or waste segregation at home?,Do you have access to formal recycling or waste collection infrastructure in your locality?,What type of area do you live in?,I am very concerned about the current state of the environment in India.,I believe that environmental pollution caused by improper waste disposal is a serious problem.,I feel that humans are severely abusing the environment.,The increasing amount of waste and garbage in my city worries me.,I believe that protecting the environment is one of the most urgent issues of our time.,"I am aware of what ""circular economy"" or ""zero waste"" means in everyday life.","I am aware of government schemes in India that promote recycling (e.g., Swachh Bharat Mission, Extended Producer Responsibility rules).","I know how to properly segregate waste into categories like dry, wet, and hazardous.",I have seen or heard government campaigns that encourage people to recycle in the last 6 months.,I understand what happens to my waste after it is collected from my home.,"If I received cash rewards or discounts for returning recyclable items, I would do it more regularly.",Government subsidies or reduced utility bills for households that recycle would motivate me to recycle more.,Financial penalties (fines) for not segregating waste would make me more likely to separate my waste properly.,"If there were monetary benefits linked to returning e-waste (old phones, batteries) properly, I would actively participate.",I think a deposit-refund system (where you pay extra when buying and get it back when you return the package) would increase my recycling behavior.,I am worried that recycling apps or government waste-tracking systems would collect too much personal data about me.,I would hesitate to register on a government recycling platform because of concerns about how my data would be used.,I do not trust that my personal information shared on recycling apps would remain private.,"The requirement to provide personal details (address, phone number) to access recycling services concerns me.",I feel that using smart waste-bin systems that track which household generates what waste is an invasion of my privacy.,I think recycling is a good habit to practice regularly.,Segregating and recycling waste is a worthwhile activity.,I have a positive attitude towards policies that promote circular economy practices in India.,I believe recycling contributes meaningfully to solving environmental problems in India.,I feel proud when I recycle or properly dispose of my waste.,I have the knowledge and skills needed to segregate and recycle waste correctly.,Recycling is something that is easy for me to do given where I live and work.,I am confident that I could recycle regularly even if there were minor inconveniences involved.,"The infrastructure available in my area (bins, collection points) makes it possible for me to recycle easily.",I feel that whether or not I recycle is entirely within my control.,I intend to recycle or properly segregate my waste regularly in the next 3 months.,I plan to increase my recycling activities in the coming months.,I would actively participate in a government recycling program if one were launched in my area.,I am willing to make extra effort to find proper recycling facilities rather than throwing recyclable items in regular bins.,"I will recommend recycling practices to people around me (family, friends, neighbors)."
4/19/2026 23:10:47,18 - 24,Undergraduate (pursuing),Student,Ahmedabad,Never,No / I am unsure,Urban tier-2 city,2,2,3,2,2,1,1,2,1,1,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,1,2,2,2,2,1,2,1,2
4/19/2026 23:38:31,35 - 44,High school/10+2,Homemaker,Nagpur,Never,No / I am unsure,Rural area,3,2,2,3,2,1,1,1,1,2,2,2,2,2,1,2,2,3,2,2,3,3,3,2,2,1,1,2,1,2,2,1,1,2,1
4/20/2026 0:18:42,25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,3,3,3,3,2,2,2,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2
4/20/2026 1:02:58,Above,High school/10+2,Self-employed,Coimbatore,Never,No / I am unsure,Semi-urban/town,2,2,2,3,2,1,1,1,2,1,2,3,2,2,2,4,3,4,4,4,2,2,2,2,3,1,1,1,1,2,1,1,1,2,1
4/20/2026 2:09:27,18 - 24,Undergraduate (pursuing),Student,Thiruvananthapuram,Rarely (a few times a year),No / I am unsure,Semi-urban/town,4,4,3,4,4,3,2,3,2,2,4,4,3,4,3,2,2,3,2,2,4,4,4,3,4,1,1,2,1,2,2,2,2,2,2
4/20/2026 10:21:48,Under 18,High school/10+2,Student,Banglore ,Never,No / I am unsure,Urban metro city,5,5,5,5,5,1,3,5,3,1,3,5,5,2,3,5,5,5,4,5,5,5,3,5,4,3,3,3,5,3,5,5,4,2,5
4/20/2026 10:36:43,45 - 60,Postgraduate,Homemaker,Bengaluru ,Always (daily),"Yes, regularly",Urban metro city,5,5,4,5,5,4,3,5,3,5,5,5,5,5,5,2,2,2,2,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3
4/20/2026 10:48:39,25 - 34,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,4,4,4,4,3,4,4,5,4,4,5,5,5,5,5,5,4,4,3,4,3,3,3,3,3,3,2,2,3,2,2
4/20/2026 11:08:19,18 - 24,Undergraduate (pursuing),Student,Bangalore,Often (weekly),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,5,4,3,4,5,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,4,5,5
4/20/2026 11:13:13,45 - 60,Undergraduate (completed),Homemaker,Kochi,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,4,3,4,3,3,2,3,3,2,3,4,3,3,4,5,5,4,5,5,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2
4/20/2026 11:18:32,25 - 34,Doctoral,Employed (private sector),Delhi,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,4,5,4,5,5,4,5,4,4,3,3,4,3,3,5,5,5,5,5,4,3,4,3,4,3,4,3,3,3,2,2,2,2,2
4/20/2026 11:25:04,18 - 24,Undergraduate (pursuing),Student,Karnataka,Rarely (a few times a year),No / I am unsure,Urban metro city,5,5,5,5,5,4,3,4,2,2,5,5,4,5,5,3,3,3,3,3,4,4,3,4,4,3,2,3,2,3,3,3,3,3,3
4/20/2026 11:28:13,45 - 60,Postgraduate,Self-employed,Bangalore,Often (weekly),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,5,5,1,4,4,4,4,4,4,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5
4/20/2026 11:31:54,18 - 24,Undergraduate (pursuing),Student,karnataka,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,3,3,3,2,4,5,5,4,5,4,3,3,4,4,4,5,5,5,5,5,3,3,4,4,4,5,5,5,5,5
4/20/2026 11:32:15,18 - 24,Undergraduate (pursuing),Student,Kozhikode,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,4,3,4,4,3,3,3,3,3,4,4,3,4,4,5,4,5,5,4,3,4,3,4,3,3,3,3,3,3,2,3,2,3,2
4/20/2026 11:52:45,35 - 44,Postgraduate,Employed (government),Jaipur,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,4,4,4,5,4,4,4,4,4,3,4,4,3,4,4,5,5,5,5,5,3,3,4,3,3,3,3,3,2,3,2,2,2,2,3
4/20/2026 11:54:44,35 - 44,Undergraduate (completed),Self-employed,Lucknow,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,3,2,3,2,3,5,5,5,5,5,2,3,2,3,2,4,3,4,3,4,3,3,3,3,3,4,4,5,4,4
4/20/2026 11:57:06,18 - 24,Undergraduate (pursuing),Student,Bengaluru ,Never,"Yes, regularly",Urban tier-2 city,3,5,5,5,5,3,5,4,3,4,5,3,3,5,3,5,4,5,5,3,5,5,3,4,3,5,3,3,3,3,3,3,4,3,3
4/20/2026 12:06:11,35 - 44,Undergraduate (completed),Homemaker,Chandigarh,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,2,3,2,3,2,2,2,2,2,2,5,5,5,5,5,3,3,3,3,3,3,4,3,4,3,3,2,3,3,3,4,4,4,4,4
4/20/2026 12:07:22,18 - 24,Undergraduate (pursuing),Student,Bengaluru ,Often (weekly),"Yes, regularly",Urban tier-2 city,5,5,5,5,5,2,4,3,1,4,5,2,2,5,4,4,3,1,3,1,5,4,5,4,4,4,1,4,4,4,5,5,5,5,5
4/20/2026 12:08:42,18 - 24,Undergraduate (pursuing),Student,"Bengaluru, Karnataka",Rarely (a few times a year),No / I am unsure,Semi-urban/town,5,5,5,5,4,4,3,4,2,2,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,3,3,2,4,3,3,4,4,4
4/20/2026 12:11:37,45 - 60,Postgraduate,Homemaker,Bangalore ,Always (daily),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,5,3,5,3,3,5,5,2,5,5,5,5,5,1,1,5,5,3,5,5,5,5,5,3,5,3,3,1,3,1
4/20/2026 12:33:46,25 - 34,High school/10+2,Self-employed,Kanpur,Rarely (a few times a year),No / I am unsure,Semi-urban/town,2,3,3,3,2,1,2,2,2,1,5,5,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,4,4,4,4,3
4/20/2026 12:34:25,35 - 44,Doctoral,Unemployed,Banglore ,Sometimes (about once a month),"Yes, regularly",Semi-urban/town,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,1,1,1,1
4/20/2026 12:35:30,18 - 24,Undergraduate (pursuing),Student,Kerala,Often (weekly),"Yes, but inconsistently",Urban metro city,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,2,3,3,4,4,3,3,4,4,4,3,3,3,3,4
4/20/2026 13:02:27,35 - 44,High school/10+2,Homemaker,Varanasi,Never,No / I am unsure,Rural area,2,2,2,3,2,1,1,1,1,1,5,5,4,5,5,2,2,2,2,2,2,2,2,2,3,1,1,2,1,1,3,3,4,3,3
4/20/2026 13:19:52,45 - 60,Undergraduate (completed),Self-employed,Madurai,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,2,3,3,2,3,5,5,5,5,4,2,2,2,3,2,3,4,3,4,3,3,3,3,3,4,4,4,4,4,4
4/20/2026 13:49:54,45 - 60,Doctoral,Employed (government),Kolkata,Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,1,1,2,1,1,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5
4/20/2026 13:52:43,25 - 34,Postgraduate,Student,Ahmedabad,Often (weekly),"Yes, regularly",Urban metro city,4,5,4,4,5,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,5,5,5,5,4,4,4,4,5,4,5,5,4,5,5
4/20/2026 13:56:16,45 - 60,Undergraduate (completed),Self-employed,Bangalore ,Rarely (a few times a year),"Yes, regularly",Urban metro city,5,5,5,5,5,3,2,5,5,4,3,3,3,5,3,1,2,1,5,1,5,5,4,5,5,3,3,3,4,3,4,3,3,3,4
4/20/2026 13:57:38,25 - 34,Postgraduate,Student,Hyderabad,Often (weekly),"Yes, regularly",Urban metro city,5,4,5,5,5,5,5,4,5,5,4,5,4,5,4,2,3,2,2,2,5,5,5,4,5,4,4,5,4,4,5,5,5,4,5
4/20/2026 14:00:11,25 - 34,Postgraduate,Employed (private sector),Nagpur,Rarely (a few times a year),No / I am unsure,Urban tier-2 city,5,5,5,5,5,3,3,3,4,3,4,4,4,4,4,2,2,2,2,2,5,5,4,5,5,1,1,1,1,2,3,2,3,3,3
4/20/2026 14:57:16,Under 18,Undergraduate (pursuing),Student,Anantapur ,Sometimes (about once a month),No / I am unsure,Urban tier-2 city,5,5,5,5,5,3,4,4,2,1,5,5,5,5,5,4,4,4,4,2,5,5,5,5,5,4,4,4,4,2,4,5,5,5,5
4/20/2026 15:01:03,35 - 44,Undergraduate (completed),Employed (private sector),Pune,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/20/2026 15:24:56,45 - 60,Undergraduate (completed),Homemaker,Delhi,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,3,2,3,2,2,2,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,2,2,3,2,3,3,3,3,3,3
4/20/2026 15:56:53,35 - 44,Postgraduate,Employed (government),Patna,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,4,3,3,4,3,3,4,4,4,3,4,3,3,3,4,4,4,4,3,4,4,3,3,3,3,3,3,4,3,4,3
4/20/2026 15:58:54,Under 18,Undergraduate (pursuing),Self-employed,,Often (weekly),No / I am unsure,Rural area,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5
4/20/2026 16:00:04,35 - 44,Undergraduate (completed),Employed (private sector),Mumbai,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,3,4,3,4,3,3,4,3,4,3,3,4,3,3,3,3,3,4,4,4,4,3,3,4,3,3,4,3,4,3,4,3
4/20/2026 16:00:35,18 - 24,High school/10+2,Unemployed,Thrissur,Rarely (a few times a year),"Yes, but inconsistently",Semi-urban/town,3,3,3,3,3,2,2,3,2,2,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,3,2
4/20/2026 16:03:52,35 - 44,High school/10+2,Self-employed,Aligarh,Never,No / I am unsure,Rural area,4,4,4,4,4,1,1,2,1,1,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,2,1,2,2,1
4/20/2026 16:17:00,18 - 24,Undergraduate (pursuing),Student,Karnataka ,Rarely (a few times a year),No / I am unsure,Urban tier-2 city,3,4,5,4,5,5,4,5,4,5,5,5,5,5,3,5,5,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/20/2026 16:22:12,18 - 24,Undergraduate (pursuing),Student,Bangalore ,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,5,5,5,5,4,4,4,3,4,1,2,1,1,2,3,3,3,4,3,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4
4/20/2026 17:03:32,35 - 44,High school/10+2,Homemaker,Mysuru District,Never,No / I am unsure,Rural area,2,3,2,3,2,1,1,1,1,1,2,3,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1
4/20/2026 17:05:36,45 - 60,High school/10+2,Self-employed,Jodhpur,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,2,1,2,2,1,5,5,4,5,4,2,2,3,2,2,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3
4/20/2026 18:45:06,25 - 34,Postgraduate,Employed (government),Salem,Sometimes (about once a month),"Yes, but inconsistently",Semi-urban/town,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,2,2,2,3,2,4,4,4,4,4,2,3,3,2,3,4,3,4,4,3
4/20/2026 18:53:58,Under 18,Other,Student,Banglore,Never,"Yes, regularly",Urban metro city,3,3,2,4,5,2,4,3,1,3,2,5,5,3,3,5,5,5,5,3,5,5,5,5,5,4,2,4,2,4,5,5,3,5,4
4/20/2026 22:17:09,25 - 34,Undergraduate (completed),Employed (private sector),Hubli,Sometimes (about once a month),"Yes, but inconsistently",Semi-urban/town,4,4,3,4,4,3,2,3,2,2,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,2,3,3,4,3,4,4
4/20/2026 22:21:31,Above,Undergraduate (completed),Homemaker,Ahmedabad ,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,4,3,2,3,3,2,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,2,2,3,2,3,3,3,3,3
4/21/2026 0:12:13,18 - 24,Undergraduate (pursuing),Student,Karnataka Bangalore ,Often (weekly),No / I am unsure,Urban metro city,5,5,5,5,4,5,3,5,2,3,5,5,5,5,5,5,3,4,5,3,5,5,5,4,3,4,4,3,2,2,4,3,3,4,5
4/21/2026 12:16:42,18 - 24,High school/10+2,Student,Haryana,Never,No / I am unsure,Urban metro city,5,5,5,5,5,4,5,4,2,2,3,4,4,5,5,1,2,2,2,2,5,5,5,5,5,3,2,4,2,2,3,4,5,2,5
4/21/2026 23:08:30,18 - 24,Undergraduate (pursuing),Student,Bhubaneswar ,Always (daily),"Yes, but inconsistently",Urban tier-2 city,5,5,5,5,5,5,4,5,2,3,4,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,3,5,3,3,4,3,3,3,5
